season,season_type,week,team_abb,qbr_total,pts_added,qb_plays,epa_total,pass,run,exp_sack,penalty,qbr_raw,name_display,opp_abb
2017,POST,18,LA,36,-1.3,52,2.8,2.6,0,-1.9,0.3,41.3,Jared Goff,ATL
2017,POST,18,TEN,48.8,0.4,44,3.9,0.3,3.8,-1,-0.2,53.4,Marcus Mariota,KC
2017,POST,18,BUF,48.7,-2.6,48,1.7,-0.6,1.6,-1.3,0.7,31.5,Tyrod Taylor,JAX
2017,POST,19,TEN,58.2,1.8,52,3.9,1.9,2.1,-2.1,-0.2,62.2,Marcus Mariota,NE
2018,POST,18,DAL,72.5,3.1,42,6.8,2.6,2.8,-0.6,0.8,73.9,Dak Prescott,SEA
2018,POST,18,HOU,19.6,-5.1,61,0.3,-2.1,1.7,-0.7,-0.1,23.4,Deshaun Watson,IND
2018,POST,18,BAL,11.4,-7,44,-2,-2.7,-1.2,-1.9,-0.1,9.5,Lamar Jackson,LAC
2018,POST,18,CHI,49.4,-0.1,48,4.3,4.9,-1.4,-0.8,0,49.5,Mitchell Trubisky,PHI
2018,POST,18,SEA,74.4,1.9,32,4.4,2.8,1,-0.6,-0.1,70,Russell Wilson,DAL
2018,POST,19,DAL,84.4,4.4,38,6.3,4.4,1.1,-0.5,0.3,83.6,Dak Prescott,LA
2018,POST,19,LA,54.1,0.6,32,3.3,2.2,0.8,0,0.3,56.5,Jared Goff,DAL
2018,POST,19,KC,63.1,3.1,55,5.7,2.1,1.6,-1.4,0.6,68.8,Patrick Mahomes,IND
2018,POST,20,LA,68.2,3.5,45,7.4,6.5,0.3,-0.5,0.1,75.1,Jared Goff,NO
2018,POST,20,KC,74.8,2.9,42,6.6,2.4,0.8,-1.9,1.4,73,Patrick Mahomes,NE
2018,POST,21,LA,16.4,-5.9,45,-1.7,-3.4,0,-2.2,-0.4,13.5,Jared Goff,NE
2019,POST,18,HOU,60.4,-0.1,49,4.2,3.2,-2.1,-3.2,0,49.3,Deshaun Watson,BUF
2019,POST,18,BUF,42.5,-1.1,60,4.2,0.4,2.3,-1.9,-0.3,43.6,Josh Allen,HOU
2019,POST,18,MIN,79.3,3.5,37,6.9,6,-0.1,-0.9,0.2,79.5,Kirk Cousins,NO
2019,POST,18,SEA,88.8,5.9,41,9.6,6.4,2.9,-0.7,-0.4,88.6,Russell Wilson,PHI
2019,POST,19,GB,83.9,4.3,34,7.1,4.3,0.9,-0.8,1,85.8,Aaron Rodgers,SEA
2019,POST,19,HOU,82.4,5.4,62,6.3,3.6,1.2,-1.3,0.1,77.5,Deshaun Watson,KC
2019,POST,19,SF,47.5,0.2,25,2.3,1.6,0,-0.8,-0.2,52.2,Jimmy Garoppolo,MIN
2019,POST,19,MIN,45,-1.5,36,1.2,-0.4,0,-1.4,0.3,35.8,Kirk Cousins,SF
2019,POST,19,BAL,30.4,-4.2,86,2.4,0.8,2.1,-0.9,-1.5,33.4,Lamar Jackson,TEN
2019,POST,19,KC,92.2,9.1,46,11.1,9,0.5,0,1.6,94.2,Patrick Mahomes,HOU
2019,POST,19,SEA,90.8,5,46,7.6,3.9,2,-1.5,0.1,82.5,Russell Wilson,GB
2019,POST,20,GB,23.3,-5.1,46,-0.4,-0.4,-1.4,-1.5,-0.1,17.2,Aaron Rodgers,SF
2019,POST,20,KC,97.7,12.6,46,15.4,8.7,5.5,-0.4,0.7,98,Patrick Mahomes,TEN
2019,POST,21,SF,42.6,-1.2,36,2,1.6,-0.4,-0.7,0.1,38.7,Jimmy Garoppolo,KC
2019,POST,21,KC,63.5,1.2,56,6.1,3.2,0.5,-1.6,0.8,57.8,Patrick Mahomes,SF
